base_addr=0x00002000 byte_count=1984
idx addr byte ascii
250 0x000020fa 7a z
251 0x000020fb b2 .
252 0x000020fc 21 !
253 0x000020fd 98 .
254 0x000020fe 28 (
255 0x000020ff 78 x
256 0x00002100 10 .
257 0x00002101 90 .
258 0x00002102 20  
259 0x00002103 53 S
260 0x00002104 66 f
261 0x00002105 4a J
262 0x00002106 4d M
263 0x00002107 b1 .
264 0x00002108 29 )
265 0x00002109 37 7
266 0x0000210a 03 .
267 0x0000210b 87 .
268 0x0000210c e4 .
269 0x0000210d 0c .
270 0x0000210e c8 .
271 0x0000210f 78 x
272 0x00002110 99 .
273 0x00002111 3e >
274 0x00002112 60 `
275 0x00002113 ef .
276 0x00002114 34 4
277 0x00002115 40 @
278 0x00002116 fe .
279 0x00002117 74 t
280 0x00002118 09 .
281 0x00002119 22 "
282 0x0000211a 0a .
283 0x0000211b 04 .
284 0x0000211c 24 $
285 0x0000211d c0 .
286 0x0000211e 90 .
287 0x0000211f 78 x
288 0x00002120 9a .
289 0x00002121 62 b
290 0x00002122 53 S
291 0x00002123 6e n
292 0x00002124 06 .
293 0x00002125 0e .
294 0x00002126 c9 .
295 0x00002127 19 .
296 0x00002128 20  
297 0x00002129 6f o
298 0x0000212a fa .
299 0x0000212b 81 .
300 0x0000212c db .
301 0x0000212d 69 i
302 0x0000212e 81 .
303 0x0000212f 78 x
304 0x00002130 ec .
305 0x00002131 34 4
306 0x00002132 82 .
307 0x00002133 88 .
308 0x00002134 c2 .
309 0x00002135 00 .
310 0x00002136 09 .
311 0x00002137 33 3
312 0x00002138 85 .
313 0x00002139 a6 .
314 0x0000213a d8 .
315 0x0000213b 94 .
316 0x0000213c 9b .
317 0x0000213d 81 .
318 0x0000213e 53 S
319 0x0000213f 78 x
320 0x00002140 72 r
321 0x00002141 06 .
322 0x00002142 d0 .
323 0x00002143 9b .
324 0x00002144 7d }
325 0x00002145 a0 .
326 0x00002146 27 '
327 0x00002147 7b {
328 0x00002148 40 @
329 0x00002149 9b .
330 0x0000214a 09 .
331 0x0000214b 22 "
332 0x0000214c 0a .
333 0x0000214d 03 .
334 0x0000214e 24 $
335 0x0000214f 78 x
336 0x00002150 d0 .
337 0x00002151 94 .
338 0x00002152 9a .
339 0x00002153 62 b
340 0x00002154 43 C
341 0x00002155 6e n
342 0x00002156 08 .
343 0x00002157 0e .
344 0x00002158 c9 .
